customer_id,trans_date,tran_amount
CS2507,6/28/2012,94
CS1430,9/2/2014,71
CS3787,10/23/2013,48
CS4103,4/14/2013,89
CS2881,9/24/2012,54
CS1854,9/29/2011,74
CS2863,12/23/2012,102
CS5292,9/4/2013,64
CS3184,1/7/2012,88
CS2049,10/7/2013,66
CS2832,7/16/2013,105
CS2251,4/12/2013,99
CS5667,2/25/2014,66
CS1327,2/19/2012,38
CS4927,8/12/2013,37
CS2302,9/9/2012,100
CS3901,9/11/2012,82
CS5762,4/21/2013,85
CS2289,3/13/2012,89
CS2867,2/9/2012,56
CS2359,8/10/2014,87
CS5814,12/12/2011,72
CS5129,6/21/2011,102
CS2597,6/3/2012,42
CS5838,9/1/2012,96
CS5800,4/23/2012,86
CS3786,7/16/2013,66
CS3659,5/19/2012,77
CS4400,9/3/2011,97
CS3026,6/3/2012,55
CS3632,2/10/2013,72
CS1452,3/23/2012,79
CS5140,7/11/2014,97
CS5383,12/29/2013,73
CS4695,9/17/2013,48
CS2368,8/10/2012,66
CS2066,7/15/2011,51
CS5277,7/12/2011,90
CS3025,12/30/2011,72
CS4802,6/25/2011,45
CS6001,2/16/2014,63
CS3981,9/20/2014,74
CS3885,4/29/2014,56
CS5546,8/28/2012,79
CS4964,5/20/2014,79
CS4881,1/21/2014,55
CS4103,3/2/2014,40
CS5884,12/19/2012,97
CS2765,4/18/2013,88
CS4438,7/5/2014,72
CS2234,12/21/2014,36
CS3015,1/30/2014,58
CS3755,1/1/2015,45
CS3927,3/25/2014,77
CS5799,11/8/2012,101
CS5708,6/3/2011,89
CS3695,4/20/2013,51
CS1969,10/23/2014,39
CS3854,11/9/2014,104
CS3416,2/23/2015,57
CS1414,12/1/2013,104
CS4732,3/27/2013,96
CS2493,12/29/2012,85
CS5851,1/19/2013,98
CS1678,5/9/2014,48
CS2049,3/19/2013,36
CS3676,9/27/2011,43
CS4853,3/27/2012,68
CS4292,3/4/2014,98
CS3152,12/15/2014,40
CS5640,1/13/2014,77
CS5857,9/26/2012,85
CS1472,4/12/2014,72
CS3888,2/22/2012,70
CS5563,6/23/2013,70
CS5104,9/17/2012,99
CS6109,11/1/2013,92
CS2352,10/6/2014,62
CS4024,2/1/2014,39
CS1499,12/24/2011,91
CS3071,9/15/2012,39
CS5638,12/16/2014,58
CS5533,5/16/2013,73
CS1961,3/29/2012,75
CS1707,9/15/2011,105
CS3692,9/17/2014,48
CS1275,12/28/2011,102
CS4738,3/20/2013,37
CS3732,6/12/2011,83
CS5676,12/16/2013,44
CS4111,7/26/2012,54
CS2074,1/5/2015,79
CS5815,1/3/2015,92
CS5094,3/7/2015,84
CS5431,1/5/2013,55
CS4540,8/13/2014,55
CS1891,3/25/2013,84
CS4389,3/22/2013,70
CS4412,1/7/2012,47
CS1697,7/13/2014,98
CS2720,4/11/2012,72
CS1152,8/4/2012,71
CS3796,9/14/2013,37
CS6066,8/23/2013,66
CS2643,7/20/2014,69
CS6056,3/22/2014,104
CS3489,1/9/2013,76
CS5229,11/23/2011,58
CS4649,12/16/2014,93
CS4372,8/27/2014,71
CS1790,10/4/2012,100
CS1475,8/20/2012,73
CS2452,4/5/2014,77
CS2781,6/2/2011,51
CS5260,9/25/2014,89
CS5155,12/25/2011,100
CS1582,5/24/2014,46
CS4757,8/19/2011,81
CS6039,10/5/2013,104
CS1580,11/18/2012,87
CS3815,7/5/2011,54
CS6063,4/13/2013,104
CS2226,10/29/2014,104
CS5367,1/8/2015,77
CS4581,6/4/2013,95
CS5004,12/21/2014,59
CS2164,8/6/2013,35
CS4590,5/31/2014,79
CS4600,10/3/2011,50
CS2122,2/20/2012,90
CS3060,8/24/2012,59
CS2217,4/19/2013,85
CS4288,4/21/2014,68
CS1568,5/10/2013,104
CS3442,9/16/2014,39
CS4883,12/24/2013,39
CS4911,2/17/2012,75
CS1533,7/25/2012,86
CS3103,5/7/2014,59
CS2185,1/29/2012,46
CS4094,7/24/2013,100
CS4354,12/29/2012,62
CS1939,7/25/2012,46
CS5516,12/4/2012,75
CS5664,11/2/2013,95
CS5068,11/7/2014,41
CS4376,10/13/2014,49
CS5825,10/22/2011,61
CS1871,1/16/2012,64
CS5046,2/6/2015,86
CS1259,6/30/2013,64
CS5664,9/11/2011,58
CS2986,7/20/2011,67
CS5510,9/2/2013,99
CS2845,1/10/2013,73
CS4077,7/22/2012,90
CS3466,11/4/2013,71
CS1508,10/25/2013,101
CS2469,7/19/2014,93
CS2767,1/3/2015,105
CS5790,3/17/2012,58
CS1710,6/10/2013,100
CS2554,10/5/2011,100
CS5283,2/5/2015,63
CS4050,8/30/2014,63
CS5975,9/8/2012,77
CS4227,10/16/2012,74
CS5983,5/20/2011,47
CS2490,12/4/2013,70
CS1696,12/25/2012,51
CS3209,2/25/2014,82
CS2942,1/8/2013,62
CS4981,10/16/2011,93
CS1397,3/26/2014,77
CS1903,4/15/2013,92
CS3754,11/30/2013,77
CS4763,12/12/2011,78
CS4413,1/17/2015,38
CS2333,8/13/2011,99
CS2798,5/30/2012,100
CS5033,12/13/2011,96
CS1420,9/9/2014,99
CS5132,9/14/2011,74
CS3058,9/3/2012,74
CS3692,9/22/2013,42
CS2463,9/29/2012,55
CS5209,11/11/2011,35
CS4581,11/16/2013,53
CS3424,12/2/2013,85
CS3207,6/27/2013,86
CS5763,1/23/2013,56
CS5772,1/18/2012,97
CS3673,4/29/2013,85
CS2887,3/2/2012,100
CS1596,8/28/2011,66
CS4299,6/17/2012,37
CS1492,2/6/2014,82
CS2313,4/10/2014,40
CS5385,4/25/2014,83
CS3441,11/3/2013,43
CS4701,7/26/2014,53
CS1746,6/21/2013,103
CS3276,7/27/2013,65
CS2555,5/20/2012,50
CS2569,4/29/2014,37
CS3426,5/1/2014,67
CS3052,11/17/2013,67
CS1993,8/8/2013,68
CS4908,9/27/2014,78
CS3021,2/10/2014,43
CS4424,5/16/2013,82
CS4841,5/23/2013,74
CS3486,11/19/2012,75
CS2218,10/11/2011,78
CS4779,4/29/2012,53
CS4226,4/19/2013,100
CS1653,8/30/2011,53
CS2533,3/30/2012,99
CS2905,7/29/2012,47
CS5169,1/25/2013,64
CS5142,11/25/2012,64
CS4390,7/2/2014,43
CS5668,2/27/2014,91
CS2896,1/14/2013,71
CS5156,10/2/2013,58
CS4200,8/12/2012,67
CS4391,9/7/2014,67
CS5408,7/22/2013,78
CS6019,10/25/2013,84
CS3981,7/25/2012,40
CS5925,6/20/2013,66
CS3964,11/14/2013,105
CS4688,5/20/2013,101
CS1343,6/2/2012,57
CS6024,10/14/2012,45
CS2816,12/18/2011,84
CS2434,5/20/2012,41
CS6018,5/18/2012,96
CS2072,7/7/2012,63
CS2897,12/3/2013,83
CS1680,10/14/2013,81
CS1638,8/5/2013,84
CS1165,4/12/2012,101
CS4593,1/4/2012,84
CS3414,11/13/2011,46
CS2252,2/28/2013,58
CS3598,7/30/2013,54
CS3642,5/19/2014,62
CS5948,7/10/2014,71
CS5582,5/23/2014,96
CS6107,7/23/2011,70
CS5201,7/2/2011,79
CS1639,5/5/2013,51
CS5884,11/20/2012,52
CS3515,7/7/2014,81
CS2332,8/29/2013,66
CS5628,12/16/2014,94
CS4830,4/13/2012,78
CS1673,1/4/2012,92
CS4993,6/1/2011,86
CS2603,7/1/2013,58
CS1800,11/20/2013,72
CS3911,6/9/2012,83
CS5465,12/5/2011,77
CS2373,3/29/2012,105
CS1241,3/6/2013,104
CS4244,2/15/2013,48
CS5233,6/5/2013,73
CS5405,12/4/2013,87
CS4115,11/30/2011,73
CS4283,12/23/2011,76
CS4420,5/28/2014,93
CS4779,5/8/2013,41
CS2567,7/15/2011,93
CS3629,9/30/2014,68
CS2026,8/25/2013,66
CS4338,7/5/2013,58
CS4142,5/20/2012,100
CS2837,11/10/2012,88
CS1625,11/5/2013,104
CS4873,11/20/2012,83
CS3376,8/28/2012,39
CS4311,2/27/2012,35
CS1396,9/25/2012,86
CS3779,1/29/2014,92
CS1997,10/9/2012,87
CS4540,5/17/2012,72
CS5299,12/22/2012,90
CS2253,11/21/2012,99
CS6066,3/17/2014,102
CS6077,11/22/2012,44
CS3300,12/28/2014,86
CS5922,3/31/2012,95
CS6009,3/13/2014,39
CS5064,2/19/2013,97
CS2399,4/21/2014,77
CS5547,9/27/2012,73
CS5114,9/23/2012,96
CS3908,11/10/2011,83
CS4194,4/24/2013,92
CS5342,10/15/2012,82
CS5425,8/4/2012,90
CS1991,9/29/2014,94
CS2693,8/27/2013,61
CS5076,1/31/2015,63
CS3177,6/8/2011,87
CS2809,6/2/2012,60
CS3864,12/6/2013,56
CS2515,12/11/2011,51
CS4487,8/25/2011,100
CS3108,8/20/2011,87
CS1133,7/28/2014,91
CS5919,3/4/2012,97
CS6067,9/4/2012,44
CS4893,10/24/2013,66
CS5750,3/25/2014,48
CS1445,11/13/2011,88
CS1710,10/26/2011,52
CS1927,12/23/2013,97
CS5719,7/10/2011,40
CS2591,1/29/2014,69
CS2416,2/13/2013,59
CS1347,2/10/2013,74
CS3073,2/13/2015,95
CS3590,10/23/2013,104
CS4099,5/29/2014,67
CS4109,8/21/2012,40
CS6072,12/20/2011,82
CS3266,11/17/2012,51
CS1433,12/22/2014,72
CS5499,6/23/2011,59
CS1533,7/20/2012,85
CS5405,4/21/2012,91
CS4971,5/28/2013,83
CS5461,2/6/2012,47
CS6088,1/27/2013,82
CS1984,9/4/2012,53
CS1184,1/5/2013,102
CS4346,12/9/2012,65
CS5245,10/29/2014,104
CS5402,11/3/2011,84
CS2765,8/29/2011,61
CS5785,6/20/2013,63
CS5767,5/29/2013,82
CS2753,6/17/2012,63
CS2252,9/4/2012,68
CS5488,6/28/2012,53
CS5354,9/23/2014,83
CS1470,2/11/2012,95
CS1155,10/16/2011,75
CS5565,6/4/2014,36
CS6073,2/7/2015,104
CS2817,6/11/2014,43
CS3210,10/29/2011,57
CS4688,10/16/2012,59
CS4663,2/24/2013,95
CS4539,7/28/2012,35
CS2580,7/9/2012,42
CS3983,10/15/2012,103
CS2771,7/2/2012,67
CS3635,2/3/2015,38
CS1415,1/21/2012,73
CS2294,3/4/2015,94
CS1405,9/18/2013,43
CS1582,1/16/2014,85
CS2886,11/9/2013,38
CS2770,11/7/2014,80
CS1140,12/28/2014,61
CS2333,1/25/2014,93
CS4752,4/20/2013,95
CS5687,7/26/2011,89
CS4895,1/11/2014,80
CS2786,11/28/2011,66
CS1927,5/24/2012,63
CS4327,9/26/2014,36
CS1624,3/30/2013,68
CS5490,8/19/2014,36
CS4395,2/26/2012,66
CS3174,1/25/2013,61
CS2011,6/6/2013,85
CS5553,1/7/2015,98
CS3775,2/23/2012,92
CS2885,11/8/2012,55
CS1206,8/11/2014,90
CS4480,5/23/2012,60
CS1488,2/12/2015,65
CS1456,2/8/2013,95
CS4681,2/3/2014,96
CS3170,10/16/2012,85
CS1906,5/18/2014,60
CS5774,2/28/2015,78
CS6063,9/29/2011,77
CS2223,1/17/2014,41
CS1848,9/27/2011,48
CS2366,4/8/2014,39
CS5335,1/13/2014,45
CS2899,10/12/2012,55
CS4219,12/6/2013,59
CS5690,1/19/2015,82
CS3410,9/6/2014,97
CS1337,7/24/2014,103
CS4954,11/2/2012,82
CS4400,8/23/2011,67
CS3652,2/7/2015,64
CS5677,2/28/2013,93
CS4992,10/21/2012,83
CS3569,8/17/2014,61
CS2442,4/30/2014,59
CS4160,5/15/2012,66
CS5996,11/18/2011,69
CS2345,6/14/2011,60
CS2246,8/10/2011,44
CS2928,7/16/2013,67
CS1740,9/28/2014,102
CS2298,9/12/2011,105
CS5283,12/1/2012,63
CS6084,8/15/2013,64
CS3237,1/22/2013,40
CS4913,7/22/2014,53
CS2104,10/25/2014,81
CS4645,12/2/2013,104
CS1128,4/23/2014,105
CS4639,7/27/2012,39
CS4310,9/13/2011,83
CS3182,1/18/2013,48
CS3347,7/23/2012,38
CS4231,2/23/2015,89
CS4171,10/31/2014,53
CS3137,8/3/2013,92
CS1249,5/23/2012,55
CS3455,10/3/2011,98
CS1235,5/30/2012,56
CS4454,8/27/2013,57
CS3180,3/9/2014,65
CS2930,1/16/2014,94
CS3838,3/23/2012,82
CS1883,10/12/2014,57
CS5148,11/19/2012,72
CS4952,11/21/2011,54
CS5724,11/4/2011,85
CS1447,3/19/2012,104
CS1693,1/28/2012,59
CS4341,3/17/2014,87
CS3598,8/8/2012,72
CS5659,8/2/2012,100
CS5367,12/1/2014,41
CS1501,2/27/2013,65
CS2134,7/15/2014,77
CS3407,9/17/2014,62
CS3343,4/3/2014,56
CS3506,3/12/2013,103
CS2244,5/5/2013,86
CS1243,12/4/2012,70
CS3061,12/2/2013,89
CS4884,2/10/2015,78
CS1590,4/9/2014,39
CS3176,7/28/2014,50
CS5638,11/12/2014,68
CS2122,10/21/2012,83
CS2177,1/30/2015,93
CS3074,5/27/2011,61
CS3433,12/20/2012,99
CS3418,3/2/2013,87
CS5821,6/23/2012,70
CS2231,1/8/2015,74
CS5356,4/1/2014,91
CS5803,11/28/2014,96
CS5611,12/29/2014,65
CS5012,12/31/2011,85
CS4967,4/7/2013,98
CS2522,10/6/2014,85
CS2328,2/20/2015,43
CS3530,5/13/2013,88
CS5034,6/1/2014,39
CS5784,11/21/2011,75
CS3581,8/17/2011,93
CS3011,12/14/2014,83
CS4152,2/12/2013,41
CS5757,2/8/2014,56
CS5557,1/23/2012,82
CS3988,4/17/2012,51
CS3396,12/25/2011,87
CS4393,2/10/2015,54
CS4629,12/21/2012,35
CS3821,7/3/2013,73
CS3460,9/19/2011,77
CS4948,2/18/2013,84
CS3786,10/17/2011,71
CS5468,6/8/2012,50
CS1545,9/16/2014,55
CS4960,2/16/2014,77
CS3555,8/5/2013,103
CS4587,10/31/2012,104
CS1228,9/27/2011,57
CS5126,12/22/2012,49
CS1453,3/23/2014,45
CS5938,11/20/2012,61
CS3135,7/31/2012,49
CS4444,3/29/2013,102
CS5348,12/6/2014,64
CS1416,11/27/2012,100
CS5400,5/7/2014,75
CS2313,12/23/2012,59
CS5187,1/28/2012,42
CS3426,4/2/2013,87
CS2309,5/31/2011,60
CS4564,3/29/2013,94
CS3291,12/30/2012,93
CS2607,2/19/2013,50
CS1882,9/23/2014,104
CS2248,8/17/2011,100
CS4082,2/15/2015,49
CS3181,4/27/2014,62
CS2462,2/25/2012,88
CS2336,9/22/2013,86
CS3235,7/2/2012,43
CS2748,1/11/2012,55
CS3668,8/25/2012,86
CS1296,1/14/2014,61
CS5356,10/12/2012,57
CS4079,8/21/2012,68
CS4864,1/6/2014,73
CS2860,5/24/2013,74
CS4851,4/23/2013,94
CS5761,1/28/2015,102
CS6082,3/2/2012,48
CS3702,5/22/2011,45
CS1512,4/1/2013,54
CS4569,7/3/2014,76
CS2419,7/6/2014,95
CS3942,5/21/2013,64
CS4604,4/7/2012,38
CS6056,2/21/2013,98
CS2592,9/8/2013,73
CS5152,3/30/2014,53
CS4282,6/13/2011,46
CS4509,8/21/2012,93
CS2252,9/23/2014,95
CS3367,8/27/2013,98
CS4980,1/25/2012,64
CS3128,9/3/2011,91
CS3331,6/30/2013,99
CS4166,12/31/2012,104
CS5063,6/20/2012,56
CS5971,1/15/2014,94
CS5060,10/2/2013,38
CS5810,4/30/2013,48
CS2860,8/1/2011,78
CS4490,9/12/2014,37
CS5976,7/22/2012,47
CS4775,7/30/2012,86
CS4174,11/20/2012,51
CS5211,1/13/2015,85
CS3450,10/26/2012,80
CS3945,11/17/2012,80
CS2524,4/12/2012,55
CS3379,10/7/2014,101
CS4349,2/5/2012,87
CS2776,11/1/2012,70
CS1839,11/13/2013,77
CS1322,11/25/2013,84
CS3593,5/25/2012,81
CS1981,5/21/2011,71
CS4054,8/16/2011,99
CS4533,1/21/2015,53
CS2896,12/29/2011,80
CS5616,10/12/2013,37
CS3791,7/3/2014,49
CS1951,5/29/2011,73
CS2473,6/16/2013,81
CS5894,8/17/2013,68
CS1633,12/19/2012,62
CS1977,7/1/2013,38
CS6011,2/21/2014,55
CS6044,10/17/2013,36
CS4951,10/30/2013,90
CS2798,8/2/2011,69
CS2197,9/21/2012,70
CS3011,2/3/2014,65
CS1654,12/16/2014,85
CS2424,12/5/2013,101
CS3530,4/20/2014,40
CS1803,7/18/2013,80
CS4627,6/22/2014,50
CS5154,8/5/2012,78
CS3368,12/4/2012,38
CS2435,12/19/2013,86
CS4353,2/7/2015,75
CS5305,3/14/2012,86
CS3539,6/1/2013,64
CS2087,11/29/2012,52
CS5569,8/7/2011,56
CS5038,11/15/2014,75
CS4895,1/21/2013,43
CS2873,12/26/2011,87
CS5184,2/9/2013,51
CS1930,4/19/2013,76
CS4267,5/20/2012,38
CS5109,8/1/2014,91
CS5778,11/25/2012,65
CS3400,3/2/2012,97
CS2578,9/11/2013,47
CS3374,10/25/2011,49
CS1492,9/11/2011,101
CS4121,1/21/2013,50
CS5623,3/1/2015,100
CS5118,2/26/2012,65
CS3838,8/21/2014,42
CS3713,10/1/2013,50
CS3104,6/12/2011,51
CS4964,4/30/2012,86
CS5534,7/20/2014,40
CS4723,1/1/2014,88
CS3353,12/4/2014,94
CS3789,2/13/2014,102
CS4141,2/4/2014,88
CS1626,12/23/2012,38
CS2653,4/7/2012,81
CS5227,1/13/2014,49
CS4299,6/12/2013,36
CS4675,11/2/2011,85
CS1474,5/29/2012,37
CS4892,5/23/2012,60
CS3864,8/3/2014,78
CS4259,2/5/2012,55
CS4674,12/19/2014,75
CS4904,6/15/2014,60
CS1663,3/15/2012,53
CS4527,12/12/2012,99
CS3886,4/10/2012,85
CS6090,9/26/2012,93
CS5633,7/21/2011,54
CS1971,3/9/2013,39
CS2411,9/26/2013,71
CS2168,1/29/2015,65
CS5716,3/19/2012,100
CS3069,12/15/2011,62
CS4123,10/16/2012,60
CS4310,9/29/2014,61
CS1522,4/21/2013,90
CS6085,9/24/2013,65
CS1425,1/4/2015,83
CS1398,8/2/2014,56
CS3410,7/19/2011,69
CS5930,4/15/2014,35
CS3658,5/28/2012,37
CS1743,4/12/2014,73
CS5345,10/7/2014,84
CS4853,2/12/2014,45
CS4654,4/30/2014,83
CS4355,9/30/2014,77
CS1609,2/2/2012,45
CS3857,11/8/2013,53
CS4790,12/24/2013,103
CS3261,7/31/2012,72
CS5896,9/28/2012,78
CS4499,10/19/2012,46
CS2305,6/10/2011,71
CS4363,10/9/2014,102
CS5777,7/29/2011,97
CS4557,9/29/2012,93
CS5019,11/6/2012,67
CS4285,1/27/2015,38
CS5264,2/13/2013,79
CS3960,5/26/2012,48
CS2263,1/5/2013,96
CS2721,9/21/2013,88
CS3317,2/15/2014,41
CS4849,10/3/2011,73
CS2745,6/21/2012,84
CS3373,11/3/2012,88
CS2287,3/21/2013,59
CS5050,3/3/2015,38
CS3925,11/2/2011,35
CS2528,4/16/2013,102
CS2006,7/12/2011,100
CS1257,3/11/2013,89
CS5855,2/26/2015,63
CS3411,2/28/2015,48
CS5566,11/20/2011,79
CS5050,11/2/2013,97
CS3076,5/23/2014,69
CS2898,7/14/2012,62
CS4839,12/29/2011,57
CS5208,2/14/2015,49
CS2148,8/20/2013,97
CS1306,1/21/2012,72
CS4343,1/31/2012,59
CS2699,11/23/2013,64
CS6005,2/16/2013,52
CS2540,8/28/2014,87
CS2934,4/11/2013,77
CS1791,6/4/2014,78
CS5217,6/15/2012,42
CS2329,2/11/2014,67
CS4724,10/29/2012,97
CS1909,8/26/2012,39
CS3421,6/8/2012,41
CS6025,2/20/2014,77
CS4665,12/27/2013,68
CS3708,11/19/2013,77
CS3359,3/13/2013,39
CS5382,10/29/2011,46
CS4703,5/25/2011,53
CS1433,12/20/2014,99
CS3001,6/19/2011,100
CS4924,8/3/2014,56
CS4136,1/7/2014,79
CS4224,5/12/2013,80
CS1332,7/12/2012,59
CS2962,10/25/2014,71
CS1839,2/6/2014,52
CS6025,9/8/2011,88
CS1903,11/23/2012,91
CS3080,3/27/2013,65
CS2967,12/19/2012,97
CS4084,2/11/2015,53
CS3758,4/2/2014,55
CS2376,5/21/2014,58
CS6101,6/25/2011,71
CS4282,9/28/2013,58
CS3595,2/17/2013,81
CS5043,3/22/2014,85
CS3785,5/2/2012,95
CS5370,10/3/2014,61
CS2269,9/24/2014,53
CS2979,9/29/2011,98
CS3678,9/5/2012,78
CS2927,12/31/2012,84
CS4491,3/9/2014,57
CS1844,11/25/2011,97
CS3683,9/14/2013,38
CS5057,12/4/2013,90
CS2384,8/3/2013,69
CS3655,4/29/2012,91
CS3810,8/21/2013,71
CS5241,10/26/2012,83
CS3890,12/22/2011,47
CS3155,11/6/2012,68
CS3160,9/15/2011,78
CS4573,8/3/2012,37
CS1558,1/25/2012,86
CS2243,1/28/2012,92
CS2209,10/9/2012,67
CS5182,7/28/2012,86
CS6085,9/12/2014,87
CS4462,7/8/2012,70
CS2989,7/15/2012,58
CS1683,8/22/2013,82
CS4418,7/23/2012,79
CS3404,9/21/2014,84
CS3052,12/31/2011,92
CS2618,8/10/2014,90
CS5489,1/22/2012,104
CS1396,3/15/2013,53
CS2904,10/19/2012,46
CS3281,9/7/2013,53
CS4026,12/27/2014,91
CS3249,8/9/2012,35
CS2591,5/17/2012,83
CS5420,5/15/2014,43
CS5721,3/27/2013,97
CS5065,1/2/2014,79
CS1826,4/15/2013,95
CS4578,9/5/2013,98
CS1948,3/5/2013,94
CS3930,6/9/2013,41
CS6096,10/31/2011,103
CS3157,3/20/2012,100
CS2232,1/20/2013,97
CS2502,3/4/2014,91
CS1862,7/16/2014,60
CS4054,6/12/2013,80
CS5791,6/27/2012,36
CS5484,11/4/2012,54
CS1938,7/4/2013,53
CS4203,11/20/2012,79
CS5514,8/18/2012,70
CS1549,5/5/2012,88
CS4587,5/19/2013,46
CS1194,3/24/2014,52
CS2787,10/29/2011,45
CS1583,9/16/2013,84
CS2615,4/29/2013,98
CS3163,6/14/2012,40
CS3250,11/21/2011,72
CS2119,12/9/2014,104
CS5983,9/3/2014,38
CS5531,5/17/2011,58
CS1820,10/17/2013,94
CS5131,4/6/2013,91
CS2512,6/7/2014,88
CS2531,3/8/2014,46
CS5620,6/8/2013,55
CS2913,2/13/2012,55
CS4239,2/17/2012,77
